SizeRank,StateName,Avg_House_Price,year,month,import_of_goods,export_of_goods,gdp_of_goods,Real_PerCap,house_ownership,PPI_Lumber_of_goods,CPI_of_goods,NASDAQ_Index,Fed_Interest_Rate,PPI_ALL_Index,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,MORTGAGE,population
46.0,AK,263198.0,2008,1.0,142.9,104.7,48550.1,51624.0,66.4,163.7,212.174,2418.09380952381,3.94,181.0,0.282,0.113,0.122,0.289,0.12,0.074,5.758,687455
22.0,AL,130830.0,2008,1.0,1276.7,1114.6,202569.5,42242.0,73.0,163.7,212.174,2418.09380952381,3.94,181.0,0.258,0.095,0.113,0.282,0.118,0.135,5.758,4718206
31.0,AR,110137.0,2008,1.0,552.5,489.3,113170.5,40983.0,68.9,163.7,212.174,2418.09380952381,3.94,181.0,0.263,0.09,0.114,0.276,0.117,0.141,5.758,2874554
15.0,AZ,245920.0,2008,1.0,1372.8,1655.0,307724.1,38967.0,69.1,163.7,212.174,2418.09380952381,3.94,181.0,0.279,0.09,0.126,0.266,0.105,0.134,5.758,6280362
0.0,CA,465554.0,2008,1.0,28154.5,11048.2,2180243.6,43801.0,57.5,163.7,212.174,2418.09380952381,3.94,181.0,0.272,0.101,0.126,0.288,0.102,0.112,5.758,36604337
21.0,CO,246695.0,2008,1.0,878.8,607.7,281408.9,46677.0,69.0,163.7,212.174,2418.09380952381,3.94,181.0,0.259,0.093,0.132,0.3,0.113,0.103,5.758,4889730
28.0,CT,312797.0,2008,1.0,2030.4,1178.1,289701.3,61514.0,70.7,163.7,212.174,2418.09380952381,3.94,181.0,0.249,0.082,0.102,0.314,0.119,0.134,5.758,3545579
49.0,DC,458288.0,2008,1.0,77.0,104.8,116122.6,60529.0,44.1,163.7,212.174,2418.09380952381,3.94,181.0,0.209,0.111,0.161,0.285,0.115,0.118,5.758,580236
44.0,DE,273588.0,2008,1.0,1220.8,426.9,65726.9,45923.0,76.2,163.7,212.174,2418.09380952381,3.94,181.0,0.257,0.09,0.109,0.288,0.121,0.136,5.758,883874
3.0,FL,238292.0,2008,1.0,4461.5,3771.9,909549.6,43264.0,71.1,163.7,212.174,2418.09380952381,3.94,181.0,0.233,0.085,0.108,0.281,0.119,0.174,5.758,18527305
8.0,GA,171694.0,2008,1.0,4573.0,1964.3,484755.7,42027.0,68.2,163.7,212.174,2418.09380952381,3.94,181.0,0.281,0.091,0.124,0.298,0.106,0.101,5.758,9504843
