StateName,year,population,month
AK,1951,158000,1
AK,1952,189000,1
AK,1953,205000,1
AK,1954,215000,1
AK,1955,222000,1
AK,1956,224000,1
AK,1957,231000,1
AK,1958,224000,1
AK,1959,224000,1
AK,1960,229000,1
AK,1961,238000,1
AK,1962,246000,1
AK,1963,256000,1
AK,1964,263000,1
AK,1965,271000,1
AK,1966,271000,1
AK,1967,278000,1
AK,1968,285000,1
AK,1969,296000,1
AK,1970,302583,1
AK,1971,315510,1
AK,1972,324464,1
AK,1973,330543,1
AK,1974,341063,1
AK,1975,376170,1
AK,1976,400969,1
AK,1977,403436,1
AK,1978,404766,1
AK,1979,402753,1
AK,1980,405315,1
AK,1981,418491,1
AK,1982,449606,1
AK,1983,488417,1
AK,1984,513702,1
AK,1985,532495,1
AK,1986,544268,1
AK,1987,539309,1
AK,1988,541983,1
AK,1989,547159,1
AK,1990,553120,1
AK,1991,569273,1
AK,1992,587073,1
AK,1993,596993,1
AK,1994,600624,1
AK,1995,601345,1
AK,1996,604918,1
AK,1997,608846,1
AK,1998,615205,1
AK,1999,619500,1
AK,2000,627963,1
AK,2001,633714,1
AK,2002,642337,1
AK,2003,648414,1
AK,2004,659286,1
AK,2005,666946,1
AK,2006,675302,1
AK,2007,680300,1
AK,2008,687455,1
AK,2009,698895,1
AK,2010,713982,1
AK,2011,722349,1
AK,2012,730810,1
AK,2013,737626,1
AK,2014,737075,1
AK,2015,738430,1
AK,2016,742575,1
AK,2017,740983,1
AK,2018,736624,1
AK,2019,733603,1
AK,2020,733017,1
AK,2021,734420,1
AK,2022,734442,1
AK,2023,736510,1
AK,2024,740133,1
AL,1900,1830000,1
AL,1901,1907000,1
AL,1902,1935000,1
AL,1903,1957000,1
AL,1904,1978000,1
AL,1905,2012000,1
AL,1906,2045000,1
AL,1907,2058000,1
AL,1908,2070000,1
AL,1909,2108000,1
AL,1910,2150000,1
AL,1911,2185000,1
AL,1912,2217000,1
AL,1913,2279000,1
AL,1914,2336000,1
AL,1915,2345000,1
AL,1916,2359000,1
AL,1917,2361000,1
AL,1918,2343000,1
AL,1919,2337000,1
AL,1920,2359000,1
AL,1921,2402000,1
AL,1922,2434000,1
AL,1923,2464000,1
AL,1924,2501000,1
AL,1925,2534000,1
AL,1926,2567000,1
AL,1927,2609000,1
AL,1928,2640000,1
AL,1929,2644000,1
AL,1930,2647000,1
AL,1931,2649000,1
AL,1932,2653000,1
AL,1933,2661000,1
AL,1934,2685000,1
AL,1935,2719000,1
AL,1936,2743000,1
AL,1937,2762000,1
AL,1938,2787000,1
AL,1939,2814000,1
AL,1940,2845000,1
AL,1941,2902000,1
AL,1942,2941000,1
AL,1943,2902000,1
AL,1944,2802000,1
AL,1945,2775000,1
AL,1946,2911000,1
AL,1947,2942000,1
AL,1948,2969000,1
AL,1949,3000000,1
AL,1950,3058000,1
AL,1951,3059000,1
AL,1952,3068000,1
AL,1953,3053000,1
AL,1954,3014000,1
AL,1955,3050000,1
AL,1956,3071000,1
AL,1957,3109000,1
AL,1958,3163000,1
AL,1959,3204000,1
AL,1960,3274000,1
AL,1961,3316000,1
AL,1962,3323000,1
AL,1963,3358000,1
AL,1964,3395000,1
AL,1965,3443000,1
AL,1966,3464000,1
AL,1967,3458000,1
AL,1968,3446000,1
AL,1969,3440000,1
AL,1970,3444354,1
AL,1971,3497076,1
AL,1972,3539400,1
AL,1973,3579780,1
AL,1974,3626499,1
AL,1975,3678814,1
AL,1976,3735139,1
AL,1977,3780403,1
AL,1978,3831836,1
AL,1979,3866248,1
AL,1980,3900368,1
AL,1981,3918531,1
AL,1982,3925266,1
AL,1983,3934102,1
AL,1984,3951820,1
AL,1985,3972523,1
AL,1986,3991569,1
AL,1987,4015264,1
AL,1988,4023844,1
AL,1989,4030222,1
AL,1990,4048508,1
AL,1991,4091025,1
AL,1992,4139269,1
AL,1993,4193114,1
AL,1994,4232965,1
AL,1995,4262731,1
AL,1996,4290403,1
AL,1997,4320281,1
AL,1998,4351037,1
AL,1999,4369862,1
AL,2000,4452173,1
AL,2001,4467634,1
AL,2002,4480089,1
AL,2003,4503491,1
AL,2004,4530729,1
AL,2005,4569805,1
AL,2006,4628981,1
AL,2007,4672840,1
AL,2008,4718206,1
AL,2009,4757938,1
AL,2010,4785514,1
AL,2011,4799642,1
AL,2012,4816632,1
AL,2013,4831586,1
AL,2014,4843737,1
AL,2015,4854803,1
AL,2016,4866824,1
AL,2017,4877989,1
AL,2018,4891628,1
AL,2019,4907965,1
AL,2020,5033094,1
AL,2021,5049196,1
AL,2022,5076181,1
AL,2023,5117673,1
AL,2024,5157699,1
AR,1900,1314000,1
AR,1901,1341000,1
