StateName,CPI_of_goods,year,month,day
CA,212.174,2008,1,1
TX,212.174,2008,1,1
NC,212.174,2008,1,1
VA,212.174,2008,1,1
FL,212.174,2008,1,1
NY,212.174,2008,1,1
CO,212.174,2008,1,1
GA,212.174,2008,1,1
SC,212.174,2008,1,1
WA,212.174,2008,1,1
UT,212.174,2008,1,1
IL,212.174,2008,1,1
AR,212.174,2008,1,1
NV,212.174,2008,1,1
OH,212.174,2008,1,1
NJ,212.174,2008,1,1
AL,212.174,2008,1,1
WI,212.174,2008,1,1
MI,212.174,2008,1,1
NE,212.174,2008,1,1
AZ,212.174,2008,1,1
LA,212.174,2008,1,1
IA,212.174,2008,1,1
IN,212.174,2008,1,1
AK,212.174,2008,1,1
MA,212.174,2008,1,1
ID,212.174,2008,1,1
TN,212.174,2008,1,1
MS,212.174,2008,1,1
OR,212.174,2008,1,1
CT,212.174,2008,1,1
ME,212.174,2008,1,1
HI,212.174,2008,1,1
MN,212.174,2008,1,1
VT,212.174,2008,1,1
WV,212.174,2008,1,1
MO,212.174,2008,1,1
ND,212.174,2008,1,1
RI,212.174,2008,1,1
PA,212.174,2008,1,1
WY,212.174,2008,1,1
KY,212.174,2008,1,1
MD,212.174,2008,1,1
KS,212.174,2008,1,1
NM,212.174,2008,1,1
DE,212.174,2008,1,1
OK,212.174,2008,1,1
DC,212.174,2008,1,1
MT,212.174,2008,1,1
NH,212.174,2008,1,1
CA,212.687,2008,2,1
TX,212.687,2008,2,1
NC,212.687,2008,2,1
VA,212.687,2008,2,1
FL,212.687,2008,2,1
NY,212.687,2008,2,1
CO,212.687,2008,2,1
GA,212.687,2008,2,1
SC,212.687,2008,2,1
WA,212.687,2008,2,1
UT,212.687,2008,2,1
IL,212.687,2008,2,1
AR,212.687,2008,2,1
NV,212.687,2008,2,1
OH,212.687,2008,2,1
NJ,212.687,2008,2,1
AL,212.687,2008,2,1
WI,212.687,2008,2,1
MI,212.687,2008,2,1
NE,212.687,2008,2,1
AZ,212.687,2008,2,1
LA,212.687,2008,2,1
IA,212.687,2008,2,1
IN,212.687,2008,2,1
AK,212.687,2008,2,1
MA,212.687,2008,2,1
