observation_date,StateName,house_ownership,year,month,day
2000-01-01,AL,73.2,2000,1,1
2001-01-01,AL,73.2,2001,1,1
2002-01-01,AL,73.7,2002,1,1
2003-01-01,AL,76.2,2003,1,1
2004-01-01,AL,78.0,2004,1,1
2005-01-01,AL,76.6,2005,1,1
2006-01-01,AL,74.2,2006,1,1
2007-01-01,AL,73.3,2007,1,1
2008-01-01,AL,73.0,2008,1,1
2009-01-01,AL,74.1,2009,1,1
2010-01-01,AL,73.2,2010,1,1
2011-01-01,AL,72.9,2011,1,1
2012-01-01,AL,71.9,2012,1,1
2013-01-01,AL,72.7,2013,1,1
2014-01-01,AL,72.1,2014,1,1
2015-01-01,AL,70.0,2015,1,1
2016-01-01,AL,69.7,2016,1,1
2017-01-01,AL,70.0,2017,1,1
2018-01-01,AL,70.3,2018,1,1
2019-01-01,AL,70.7,2019,1,1
2020-01-01,AL,74.8,2020,1,1
2021-01-01,AL,73.4,2021,1,1
2022-01-01,AL,72.1,2022,1,1
2023-01-01,AL,73.8,2023,1,1
2024-01-01,AL,72.6,2024,1,1
2000-01-01,AK,66.4,2000,1,1
2001-01-01,AK,65.3,2001,1,1
2002-01-01,AK,67.1,2002,1,1
2003-01-01,AK,70.0,2003,1,1
2004-01-01,AK,67.2,2004,1,1
2005-01-01,AK,66.0,2005,1,1
2006-01-01,AK,67.2,2006,1,1
2007-01-01,AK,66.6,2007,1,1
2008-01-01,AK,66.4,2008,1,1
2009-01-01,AK,66.8,2009,1,1
2010-01-01,AK,65.7,2010,1,1
2011-01-01,AK,64.4,2011,1,1
2012-01-01,AK,63.7,2012,1,1
2013-01-01,AK,64.6,2013,1,1
2014-01-01,AK,64.9,2014,1,1
2015-01-01,AK,62.3,2015,1,1
2016-01-01,AK,65.2,2016,1,1
2017-01-01,AK,65.5,2017,1,1
2018-01-01,AK,63.7,2018,1,1
2019-01-01,AK,62.6,2019,1,1
2020-01-01,AK,64.1,2020,1,1
2021-01-01,AK,64.0,2021,1,1
2022-01-01,AK,65.1,2022,1,1
2023-01-01,AK,64.3,2023,1,1
2024-01-01,AK,66.2,2024,1,1
2000-01-01,AZ,68.0,2000,1,1
2001-01-01,AZ,68.1,2001,1,1
2002-01-01,AZ,65.6,2002,1,1
2003-01-01,AZ,67.0,2003,1,1
2004-01-01,AZ,68.7,2004,1,1
2005-01-01,AZ,71.1,2005,1,1
2006-01-01,AZ,71.6,2006,1,1
2007-01-01,AZ,70.4,2007,1,1
2008-01-01,AZ,69.1,2008,1,1
2009-01-01,AZ,68.9,2009,1,1
2010-01-01,AZ,66.6,2010,1,1
2011-01-01,AZ,66.0,2011,1,1
2012-01-01,AZ,65.3,2012,1,1
2013-01-01,AZ,65.1,2013,1,1
2014-01-01,AZ,63.5,2014,1,1
2015-01-01,AZ,61.7,2015,1,1
2016-01-01,AZ,61.9,2016,1,1
2017-01-01,AZ,64.4,2017,1,1
2018-01-01,AZ,65.7,2018,1,1
2019-01-01,AZ,65.8,2019,1,1
2020-01-01,AZ,68.7,2020,1,1
2021-01-01,AZ,65.2,2021,1,1
2022-01-01,AZ,68.1,2022,1,1
2023-01-01,AZ,69.7,2023,1,1
2024-01-01,AZ,69.1,2024,1,1
2000-01-01,AR,68.9,2000,1,1
2001-01-01,AR,71.2,2001,1,1
2002-01-01,AR,70.3,2002,1,1
2003-01-01,AR,69.6,2003,1,1
2004-01-01,AR,69.1,2004,1,1
2005-01-01,AR,69.2,2005,1,1
2006-01-01,AR,70.8,2006,1,1
2007-01-01,AR,69.5,2007,1,1
2008-01-01,AR,68.9,2008,1,1
2009-01-01,AR,68.5,2009,1,1
2010-01-01,AR,67.9,2010,1,1
2011-01-01,AR,67.6,2011,1,1
2012-01-01,AR,66.0,2012,1,1
2013-01-01,AR,65.4,2013,1,1
2014-01-01,AR,65.4,2014,1,1
2015-01-01,AR,67.1,2015,1,1
2016-01-01,AR,67.6,2016,1,1
2017-01-01,AR,65.0,2017,1,1
2018-01-01,AR,64.7,2018,1,1
2019-01-01,AR,65.3,2019,1,1
2020-01-01,AR,68.8,2020,1,1
2021-01-01,AR,66.1,2021,1,1
2022-01-01,AR,66.8,2022,1,1
2023-01-01,AR,65.9,2023,1,1
2024-01-01,AR,66.6,2024,1,1
2000-01-01,CA,57.1,2000,1,1
2001-01-01,CA,58.2,2001,1,1
2002-01-01,CA,57.7,2002,1,1
2003-01-01,CA,58.9,2003,1,1
2004-01-01,CA,59.7,2004,1,1
2005-01-01,CA,59.7,2005,1,1
2006-01-01,CA,60.2,2006,1,1
2007-01-01,CA,58.3,2007,1,1
2008-01-01,CA,57.5,2008,1,1
2009-01-01,CA,57.0,2009,1,1
2010-01-01,CA,56.1,2010,1,1
2011-01-01,CA,55.3,2011,1,1
2012-01-01,CA,54.5,2012,1,1
2013-01-01,CA,54.3,2013,1,1
2014-01-01,CA,54.2,2014,1,1
2015-01-01,CA,54.3,2015,1,1
2016-01-01,CA,53.8,2016,1,1
2017-01-01,CA,54.4,2017,1,1
2018-01-01,CA,55.1,2018,1,1
2019-01-01,CA,54.8,2019,1,1
2020-01-01,CA,55.9,2020,1,1
2021-01-01,CA,54.2,2021,1,1
2022-01-01,CA,55.3,2022,1,1
2023-01-01,CA,55.8,2023,1,1
2024-01-01,CA,55.3,2024,1,1
2000-01-01,CO,68.3,2000,1,1
2001-01-01,CO,68.5,2001,1,1
2002-01-01,CO,68.9,2002,1,1
2003-01-01,CO,71.3,2003,1,1
2004-01-01,CO,71.1,2004,1,1
2005-01-01,CO,71.0,2005,1,1
2006-01-01,CO,70.1,2006,1,1
2007-01-01,CO,70.2,2007,1,1
2008-01-01,CO,69.0,2008,1,1
2009-01-01,CO,68.4,2009,1,1
2010-01-01,CO,68.5,2010,1,1
2011-01-01,CO,65.9,2011,1,1
2012-01-01,CO,65.3,2012,1,1
2013-01-01,CO,64.4,2013,1,1
2014-01-01,CO,65.0,2014,1,1
2015-01-01,CO,63.6,2015,1,1
2016-01-01,CO,62.4,2016,1,1
2017-01-01,CO,63.7,2017,1,1
2018-01-01,CO,64.4,2018,1,1
2019-01-01,CO,64.7,2019,1,1
2020-01-01,CO,64.9,2020,1,1
2021-01-01,CO,65.9,2021,1,1
2022-01-01,CO,67.4,2022,1,1
2023-01-01,CO,67.2,2023,1,1
2024-01-01,CO,65.7,2024,1,1
2000-01-01,CT,70.0,2000,1,1
2001-01-01,CT,71.8,2001,1,1
2002-01-01,CT,71.5,2002,1,1
2003-01-01,CT,73.0,2003,1,1
2004-01-01,CT,71.7,2004,1,1
2005-01-01,CT,70.5,2005,1,1
2006-01-01,CT,71.1,2006,1,1
2007-01-01,CT,70.3,2007,1,1
2008-01-01,CT,70.7,2008,1,1
2009-01-01,CT,70.5,2009,1,1
2010-01-01,CT,70.8,2010,1,1
2011-01-01,CT,70.6,2011,1,1
2012-01-01,CT,68.8,2012,1,1
2013-01-01,CT,68.5,2013,1,1
2014-01-01,CT,67.4,2014,1,1
2015-01-01,CT,66.5,2015,1,1
2016-01-01,CT,64.2,2016,1,1
2017-01-01,CT,66.1,2017,1,1
2018-01-01,CT,65.3,2018,1,1
2019-01-01,CT,64.3,2019,1,1
2020-01-01,CT,66.9,2020,1,1
2021-01-01,CT,66.1,2021,1,1
2022-01-01,CT,64.8,2022,1,1
2023-01-01,CT,68.2,2023,1,1
2024-01-01,CT,68.8,2024,1,1
2000-01-01,DE,72.0,2000,1,1
2001-01-01,DE,75.4,2001,1,1
2002-01-01,DE,75.6,2002,1,1
2003-01-01,DE,77.2,2003,1,1
2004-01-01,DE,77.3,2004,1,1
2005-01-01,DE,75.8,2005,1,1
2006-01-01,DE,76.8,2006,1,1
2007-01-01,DE,76.8,2007,1,1
2008-01-01,DE,76.2,2008,1,1
2009-01-01,DE,76.5,2009,1,1
2010-01-01,DE,74.7,2010,1,1
2011-01-01,DE,74.2,2011,1,1
2012-01-01,DE,73.4,2012,1,1
2013-01-01,DE,74.1,2013,1,1
2014-01-01,DE,74.3,2014,1,1
2015-01-01,DE,73.3,2015,1,1
2016-01-01,DE,73.0,2016,1,1
2017-01-01,DE,70.0,2017,1,1
2018-01-01,DE,70.8,2018,1,1
2019-01-01,DE,73.1,2019,1,1
2020-01-01,DE,77.9,2020,1,1
2021-01-01,DE,73.5,2021,1,1
2022-01-01,DE,74.9,2022,1,1
2023-01-01,DE,75.7,2023,1,1
2024-01-01,DE,75.1,2024,1,1
2000-01-01,FL,68.4,2000,1,1
2001-01-01,FL,69.2,2001,1,1
2002-01-01,FL,68.7,2002,1,1
2003-01-01,FL,69.5,2003,1,1
2004-01-01,FL,72.2,2004,1,1
2005-01-01,FL,72.4,2005,1,1
2006-01-01,FL,72.4,2006,1,1
2007-01-01,FL,71.8,2007,1,1
2008-01-01,FL,71.1,2008,1,1
2009-01-01,FL,70.9,2009,1,1
2010-01-01,FL,69.3,2010,1,1
2011-01-01,FL,69.0,2011,1,1
2012-01-01,FL,67.0,2012,1,1
2013-01-01,FL,66.1,2013,1,1
2014-01-01,FL,64.9,2014,1,1
2015-01-01,FL,64.8,2015,1,1
2016-01-01,FL,64.3,2016,1,1
2017-01-01,FL,64.1,2017,1,1
2018-01-01,FL,65.5,2018,1,1
2019-01-01,FL,66.0,2019,1,1
2020-01-01,FL,68.7,2020,1,1
2021-01-01,FL,67.2,2021,1,1
2022-01-01,FL,67.3,2022,1,1
2023-01-01,FL,67.3,2023,1,1
2024-01-01,FL,68.4,2024,1,1
2000-01-01,GA,69.8,2000,1,1
2001-01-01,GA,70.1,2001,1,1
2002-01-01,GA,71.8,2002,1,1
2003-01-01,GA,71.4,2003,1,1
2004-01-01,GA,70.9,2004,1,1
2005-01-01,GA,67.9,2005,1,1
2006-01-01,GA,68.5,2006,1,1
2007-01-01,GA,67.6,2007,1,1
2008-01-01,GA,68.2,2008,1,1
2009-01-01,GA,67.4,2009,1,1
2010-01-01,GA,67.1,2010,1,1
2011-01-01,GA,66.2,2011,1,1
2012-01-01,GA,64.3,2012,1,1
2013-01-01,GA,64.2,2013,1,1
2014-01-01,GA,62.9,2014,1,1
2015-01-01,GA,62.9,2015,1,1
2016-01-01,GA,62.3,2016,1,1
2017-01-01,GA,62.8,2017,1,1
2018-01-01,GA,63.8,2018,1,1
2019-01-01,GA,64.4,2019,1,1
2020-01-01,GA,67.3,2020,1,1
2021-01-01,GA,64.0,2021,1,1
2022-01-01,GA,64.7,2022,1,1
2023-01-01,GA,65.5,2023,1,1
2024-01-01,GA,64.5,2024,1,1
2000-01-01,HI,55.2,2000,1,1
2001-01-01,HI,55.5,2001,1,1
2002-01-01,HI,57.9,2002,1,1
2003-01-01,HI,58.3,2003,1,1
2004-01-01,HI,60.6,2004,1,1
2005-01-01,HI,59.8,2005,1,1
2006-01-01,HI,59.9,2006,1,1
2007-01-01,HI,60.1,2007,1,1
2008-01-01,HI,59.1,2008,1,1
2009-01-01,HI,59.5,2009,1,1
2010-01-01,HI,56.1,2010,1,1
2011-01-01,HI,55.4,2011,1,1
2012-01-01,HI,57.2,2012,1,1
2013-01-01,HI,57.3,2013,1,1
2014-01-01,HI,58.4,2014,1,1
2015-01-01,HI,59.3,2015,1,1
2016-01-01,HI,57.7,2016,1,1
2017-01-01,HI,55.9,2017,1,1
2018-01-01,HI,59.5,2018,1,1
2019-01-01,HI,60.0,2019,1,1
2020-01-01,HI,58.8,2020,1,1
2021-01-01,HI,58.1,2021,1,1
2022-01-01,HI,59.2,2022,1,1
2023-01-01,HI,61.8,2023,1,1
2024-01-01,HI,60.3,2024,1,1
2000-01-01,ID,70.5,2000,1,1
2001-01-01,ID,71.7,2001,1,1
2002-01-01,ID,73.0,2002,1,1
2003-01-01,ID,74.4,2003,1,1
2004-01-01,ID,73.7,2004,1,1
2005-01-01,ID,74.2,2005,1,1
2006-01-01,ID,75.1,2006,1,1
2007-01-01,ID,74.5,2007,1,1
2008-01-01,ID,75.0,2008,1,1
2009-01-01,ID,75.5,2009,1,1
2010-01-01,ID,72.4,2010,1,1
2011-01-01,ID,72.4,2011,1,1
2012-01-01,ID,73.0,2012,1,1
2013-01-01,ID,71.5,2013,1,1
2014-01-01,ID,69.6,2014,1,1
2015-01-01,ID,70.0,2015,1,1
2016-01-01,ID,70.5,2016,1,1
2017-01-01,ID,69.9,2017,1,1
2018-01-01,ID,69.2,2018,1,1
2019-01-01,ID,70.6,2019,1,1
2020-01-01,ID,71.5,2020,1,1
2021-01-01,ID,71.0,2021,1,1
2022-01-01,ID,71.3,2022,1,1
2023-01-01,ID,71.0,2023,1,1
2024-01-01,ID,71.6,2024,1,1
2000-01-01,IL,67.9,2000,1,1
2001-01-01,IL,69.4,2001,1,1
2002-01-01,IL,70.1,2002,1,1
2003-01-01,IL,70.7,2003,1,1
2004-01-01,IL,72.7,2004,1,1
2005-01-01,IL,70.9,2005,1,1
2006-01-01,IL,70.4,2006,1,1
2007-01-01,IL,69.4,2007,1,1
2008-01-01,IL,68.9,2008,1,1
2009-01-01,IL,69.1,2009,1,1
2010-01-01,IL,68.8,2010,1,1
2011-01-01,IL,68.4,2011,1,1
2012-01-01,IL,66.8,2012,1,1
2013-01-01,IL,67.2,2013,1,1
2014-01-01,IL,66.4,2014,1,1
2015-01-01,IL,65.4,2015,1,1
2016-01-01,IL,65.3,2016,1,1
2017-01-01,IL,65.4,2017,1,1
2018-01-01,IL,66.0,2018,1,1
2019-01-01,IL,65.1,2019,1,1
2020-01-01,IL,67.3,2020,1,1
2021-01-01,IL,68.3,2021,1,1
2022-01-01,IL,66.7,2022,1,1
2023-01-01,IL,67.8,2023,1,1
2024-01-01,IL,68.5,2024,1,1
2000-01-01,IN,74.9,2000,1,1
2001-01-01,IN,75.3,2001,1,1
2002-01-01,IN,75.1,2002,1,1
2003-01-01,IN,74.4,2003,1,1
2004-01-01,IN,75.8,2004,1,1
2005-01-01,IN,75.0,2005,1,1
2006-01-01,IN,74.2,2006,1,1
2007-01-01,IN,73.8,2007,1,1
2008-01-01,IN,74.4,2008,1,1
2009-01-01,IN,72.0,2009,1,1
2010-01-01,IN,71.2,2010,1,1
2011-01-01,IN,72.1,2011,1,1
2012-01-01,IN,72.1,2012,1,1
2013-01-01,IN,71.7,2013,1,1
2014-01-01,IN,70.1,2014,1,1
2015-01-01,IN,69.4,2015,1,1
2016-01-01,IN,70.9,2016,1,1
2017-01-01,IN,70.0,2017,1,1
2018-01-01,IN,69.8,2018,1,1
2019-01-01,IN,69.5,2019,1,1
2020-01-01,IN,72.7,2020,1,1
2021-01-01,IN,73.0,2021,1,1
2022-01-01,IN,72.6,2022,1,1
2023-01-01,IN,73.3,2023,1,1
2024-01-01,IN,71.3,2024,1,1
2000-01-01,IA,75.2,2000,1,1
2001-01-01,IA,76.6,2001,1,1
2002-01-01,IA,73.9,2002,1,1
2003-01-01,IA,73.4,2003,1,1
2004-01-01,IA,73.2,2004,1,1
2005-01-01,IA,73.9,2005,1,1
2006-01-01,IA,74.0,2006,1,1
2007-01-01,IA,73.7,2007,1,1
2008-01-01,IA,74.0,2008,1,1
2009-01-01,IA,72.4,2009,1,1
2010-01-01,IA,71.1,2010,1,1
2011-01-01,IA,71.2,2011,1,1
2012-01-01,IA,70.2,2012,1,1
2013-01-01,IA,69.8,2013,1,1
2014-01-01,IA,69.4,2014,1,1
2015-01-01,IA,68.8,2015,1,1
2016-01-01,IA,70.0,2016,1,1
2017-01-01,IA,70.0,2017,1,1
2018-01-01,IA,68.9,2018,1,1
2019-01-01,IA,69.5,2019,1,1
2020-01-01,IA,72.1,2020,1,1
2021-01-01,IA,72.1,2021,1,1
2022-01-01,IA,73.8,2022,1,1
2023-01-01,IA,71.8,2023,1,1
2024-01-01,IA,71.8,2024,1,1
2000-01-01,KS,69.3,2000,1,1
2001-01-01,KS,70.4,2001,1,1
2002-01-01,KS,70.3,2002,1,1
2003-01-01,KS,70.3,2003,1,1
2004-01-01,KS,69.9,2004,1,1
2005-01-01,KS,69.5,2005,1,1
2006-01-01,KS,70.0,2006,1,1
2007-01-01,KS,69.4,2007,1,1
2008-01-01,KS,68.8,2008,1,1
2009-01-01,KS,67.4,2009,1,1
2010-01-01,KS,67.4,2010,1,1
2011-01-01,KS,65.4,2011,1,1
2012-01-01,KS,63.2,2012,1,1
2013-01-01,KS,63.5,2013,1,1
2014-01-01,KS,64.7,2014,1,1
2015-01-01,KS,64.9,2015,1,1
2016-01-01,KS,67.1,2016,1,1
2017-01-01,KS,66.0,2017,1,1
2018-01-01,KS,67.3,2018,1,1
