PPI_ALL_Index,year,month,day,StateName
181.0,2008.0,1.0,1.0,CA
181.0,2008.0,1.0,1.0,TX
181.0,2008.0,1.0,1.0,NC
181.0,2008.0,1.0,1.0,VA
181.0,2008.0,1.0,1.0,FL
181.0,2008.0,1.0,1.0,NY
181.0,2008.0,1.0,1.0,CO
181.0,2008.0,1.0,1.0,GA
181.0,2008.0,1.0,1.0,SC
181.0,2008.0,1.0,1.0,WA
181.0,2008.0,1.0,1.0,UT
181.0,2008.0,1.0,1.0,IL
181.0,2008.0,1.0,1.0,AR
181.0,2008.0,1.0,1.0,NV
181.0,2008.0,1.0,1.0,OH
181.0,2008.0,1.0,1.0,NJ
181.0,2008.0,1.0,1.0,AL
181.0,2008.0,1.0,1.0,WI
181.0,2008.0,1.0,1.0,MI
181.0,2008.0,1.0,1.0,NE
181.0,2008.0,1.0,1.0,AZ
181.0,2008.0,1.0,1.0,LA
181.0,2008.0,1.0,1.0,IA
181.0,2008.0,1.0,1.0,IN
181.0,2008.0,1.0,1.0,AK
181.0,2008.0,1.0,1.0,MA
181.0,2008.0,1.0,1.0,ID
181.0,2008.0,1.0,1.0,TN
181.0,2008.0,1.0,1.0,MS
181.0,2008.0,1.0,1.0,OR
181.0,2008.0,1.0,1.0,CT
181.0,2008.0,1.0,1.0,ME
181.0,2008.0,1.0,1.0,HI
181.0,2008.0,1.0,1.0,MN
181.0,2008.0,1.0,1.0,VT
181.0,2008.0,1.0,1.0,WV
181.0,2008.0,1.0,1.0,MO
181.0,2008.0,1.0,1.0,ND
181.0,2008.0,1.0,1.0,RI
181.0,2008.0,1.0,1.0,PA
181.0,2008.0,1.0,1.0,WY
181.0,2008.0,1.0,1.0,KY
181.0,2008.0,1.0,1.0,MD
181.0,2008.0,1.0,1.0,KS
181.0,2008.0,1.0,1.0,NM
181.0,2008.0,1.0,1.0,DE
181.0,2008.0,1.0,1.0,OK
181.0,2008.0,1.0,1.0,DC
181.0,2008.0,1.0,1.0,MT
181.0,2008.0,1.0,1.0,NH
182.7,2008.0,2.0,1.0,CA
182.7,2008.0,2.0,1.0,TX
182.7,2008.0,2.0,1.0,NC
182.7,2008.0,2.0,1.0,VA
182.7,2008.0,2.0,1.0,FL
182.7,2008.0,2.0,1.0,NY
182.7,2008.0,2.0,1.0,CO
182.7,2008.0,2.0,1.0,GA
182.7,2008.0,2.0,1.0,SC
182.7,2008.0,2.0,1.0,WA
182.7,2008.0,2.0,1.0,UT
182.7,2008.0,2.0,1.0,IL
182.7,2008.0,2.0,1.0,AR
182.7,2008.0,2.0,1.0,NV
182.7,2008.0,2.0,1.0,OH
182.7,2008.0,2.0,1.0,NJ
182.7,2008.0,2.0,1.0,AL
182.7,2008.0,2.0,1.0,WI
182.7,2008.0,2.0,1.0,MI
182.7,2008.0,2.0,1.0,NE
182.7,2008.0,2.0,1.0,AZ
182.7,2008.0,2.0,1.0,LA
182.7,2008.0,2.0,1.0,IA
182.7,2008.0,2.0,1.0,IN
182.7,2008.0,2.0,1.0,AK
182.7,2008.0,2.0,1.0,MA
182.7,2008.0,2.0,1.0,ID
182.7,2008.0,2.0,1.0,TN
182.7,2008.0,2.0,1.0,MS
182.7,2008.0,2.0,1.0,OR
182.7,2008.0,2.0,1.0,CT
182.7,2008.0,2.0,1.0,ME
182.7,2008.0,2.0,1.0,HI
182.7,2008.0,2.0,1.0,MN
182.7,2008.0,2.0,1.0,VT
182.7,2008.0,2.0,1.0,WV
182.7,2008.0,2.0,1.0,MO
182.7,2008.0,2.0,1.0,ND
182.7,2008.0,2.0,1.0,RI
182.7,2008.0,2.0,1.0,PA
182.7,2008.0,2.0,1.0,WY
182.7,2008.0,2.0,1.0,KY
182.7,2008.0,2.0,1.0,MD
182.7,2008.0,2.0,1.0,KS
182.7,2008.0,2.0,1.0,NM
182.7,2008.0,2.0,1.0,DE
182.7,2008.0,2.0,1.0,OK
182.7,2008.0,2.0,1.0,DC
182.7,2008.0,2.0,1.0,MT
182.7,2008.0,2.0,1.0,NH
187.9,2008.0,3.0,1.0,CA
187.9,2008.0,3.0,1.0,TX
187.9,2008.0,3.0,1.0,NC
187.9,2008.0,3.0,1.0,VA
187.9,2008.0,3.0,1.0,FL
187.9,2008.0,3.0,1.0,NY
187.9,2008.0,3.0,1.0,CO
187.9,2008.0,3.0,1.0,GA
187.9,2008.0,3.0,1.0,SC
187.9,2008.0,3.0,1.0,WA
187.9,2008.0,3.0,1.0,UT
187.9,2008.0,3.0,1.0,IL
187.9,2008.0,3.0,1.0,AR
187.9,2008.0,3.0,1.0,NV
187.9,2008.0,3.0,1.0,OH
187.9,2008.0,3.0,1.0,NJ
187.9,2008.0,3.0,1.0,AL
187.9,2008.0,3.0,1.0,WI
187.9,2008.0,3.0,1.0,MI
187.9,2008.0,3.0,1.0,NE
187.9,2008.0,3.0,1.0,AZ
187.9,2008.0,3.0,1.0,LA
187.9,2008.0,3.0,1.0,IA
187.9,2008.0,3.0,1.0,IN
187.9,2008.0,3.0,1.0,AK
187.9,2008.0,3.0,1.0,MA
187.9,2008.0,3.0,1.0,ID
187.9,2008.0,3.0,1.0,TN
187.9,2008.0,3.0,1.0,MS
187.9,2008.0,3.0,1.0,OR
187.9,2008.0,3.0,1.0,CT
187.9,2008.0,3.0,1.0,ME
187.9,2008.0,3.0,1.0,HI
187.9,2008.0,3.0,1.0,MN
187.9,2008.0,3.0,1.0,VT
187.9,2008.0,3.0,1.0,WV
187.9,2008.0,3.0,1.0,MO
187.9,2008.0,3.0,1.0,ND
187.9,2008.0,3.0,1.0,RI
187.9,2008.0,3.0,1.0,PA
187.9,2008.0,3.0,1.0,WY
187.9,2008.0,3.0,1.0,KY
187.9,2008.0,3.0,1.0,MD
187.9,2008.0,3.0,1.0,KS
187.9,2008.0,3.0,1.0,NM
187.9,2008.0,3.0,1.0,DE
187.9,2008.0,3.0,1.0,OK
187.9,2008.0,3.0,1.0,DC
187.9,2008.0,3.0,1.0,MT
187.9,2008.0,3.0,1.0,NH
190.9,2008.0,4.0,1.0,CA
190.9,2008.0,4.0,1.0,TX
190.9,2008.0,4.0,1.0,NC
190.9,2008.0,4.0,1.0,VA
190.9,2008.0,4.0,1.0,FL
190.9,2008.0,4.0,1.0,NY
190.9,2008.0,4.0,1.0,CO
190.9,2008.0,4.0,1.0,GA
190.9,2008.0,4.0,1.0,SC
190.9,2008.0,4.0,1.0,WA
190.9,2008.0,4.0,1.0,UT
190.9,2008.0,4.0,1.0,IL
190.9,2008.0,4.0,1.0,AR
190.9,2008.0,4.0,1.0,NV
190.9,2008.0,4.0,1.0,OH
190.9,2008.0,4.0,1.0,NJ
190.9,2008.0,4.0,1.0,AL
190.9,2008.0,4.0,1.0,WI
190.9,2008.0,4.0,1.0,MI
190.9,2008.0,4.0,1.0,NE
190.9,2008.0,4.0,1.0,AZ
190.9,2008.0,4.0,1.0,LA
190.9,2008.0,4.0,1.0,IA
190.9,2008.0,4.0,1.0,IN
190.9,2008.0,4.0,1.0,AK
190.9,2008.0,4.0,1.0,MA
190.9,2008.0,4.0,1.0,ID
190.9,2008.0,4.0,1.0,TN
190.9,2008.0,4.0,1.0,MS
190.9,2008.0,4.0,1.0,OR
190.9,2008.0,4.0,1.0,CT
190.9,2008.0,4.0,1.0,ME
190.9,2008.0,4.0,1.0,HI
190.9,2008.0,4.0,1.0,MN
190.9,2008.0,4.0,1.0,VT
190.9,2008.0,4.0,1.0,WV
190.9,2008.0,4.0,1.0,MO
190.9,2008.0,4.0,1.0,ND
190.9,2008.0,4.0,1.0,RI
190.9,2008.0,4.0,1.0,PA
190.9,2008.0,4.0,1.0,WY
190.9,2008.0,4.0,1.0,KY
190.9,2008.0,4.0,1.0,MD
190.9,2008.0,4.0,1.0,KS
190.9,2008.0,4.0,1.0,NM
190.9,2008.0,4.0,1.0,DE
190.9,2008.0,4.0,1.0,OK
190.9,2008.0,4.0,1.0,DC
190.9,2008.0,4.0,1.0,MT
190.9,2008.0,4.0,1.0,NH
196.6,2008.0,5.0,1.0,CA
196.6,2008.0,5.0,1.0,TX
196.6,2008.0,5.0,1.0,NC
196.6,2008.0,5.0,1.0,VA
196.6,2008.0,5.0,1.0,FL
196.6,2008.0,5.0,1.0,NY
196.6,2008.0,5.0,1.0,CO
196.6,2008.0,5.0,1.0,GA
196.6,2008.0,5.0,1.0,SC
196.6,2008.0,5.0,1.0,WA
196.6,2008.0,5.0,1.0,UT
