observation_date,StateName,Real_PerCap,year,month,day
2008-01-01,AL,42242,2008,1,1
2009-01-01,AL,41995,2009,1,1
2010-01-01,AL,41757,2010,1,1
2011-01-01,AL,41846,2011,1,1
2012-01-01,AL,41612,2012,1,1
2013-01-01,AL,41349,2013,1,1
2014-01-01,AL,42001,2014,1,1
2015-01-01,AL,43826,2015,1,1
2016-01-01,AL,43568,2016,1,1
2017-01-01,AL,44464,2017,1,1
2018-01-01,AL,46435,2018,1,1
2019-01-01,AL,47134,2019,1,1
2020-01-01,AL,50183,2020,1,1
2021-01-01,AL,52707,2021,1,1
2022-01-01,AL,50630,2022,1,1
2023-01-01,AL,50039,2023,1,1
2008-01-01,AK,51624,2008,1,1
2009-01-01,AK,50046,2009,1,1
2010-01-01,AK,53121,2010,1,1
2011-01-01,AK,54737,2011,1,1
2012-01-01,AK,55069,2012,1,1
2013-01-01,AK,53511,2013,1,1
2014-01-01,AK,55466,2014,1,1
2015-01-01,AK,56504,2015,1,1
2016-01-01,AK,54410,2016,1,1
2017-01-01,AK,54005,2017,1,1
2018-01-01,AK,55410,2018,1,1
2019-01-01,AK,56835,2019,1,1
2020-01-01,AK,58487,2020,1,1
2021-01-01,AK,57520,2021,1,1
2022-01-01,AK,58320,2022,1,1
2023-01-01,AK,58470,2023,1,1
2008-01-01,AZ,38967,2008,1,1
2009-01-01,AZ,36641,2009,1,1
2010-01-01,AZ,37167,2010,1,1
2011-01-01,AZ,38404,2011,1,1
2012-01-01,AZ,39287,2012,1,1
2013-01-01,AZ,39214,2013,1,1
2014-01-01,AZ,40285,2014,1,1
2015-01-01,AZ,41957,2015,1,1
2016-01-01,AZ,42582,2016,1,1
2017-01-01,AZ,44298,2017,1,1
2018-01-01,AZ,45693,2018,1,1
2019-01-01,AZ,47239,2019,1,1
2020-01-01,AZ,50269,2020,1,1
2021-01-01,AZ,54232,2021,1,1
2022-01-01,AZ,50856,2022,1,1
2023-01-01,AZ,51373,2023,1,1
2008-01-01,AR,40983,2008,1,1
2009-01-01,AR,40970,2009,1,1
2010-01-01,AR,40280,2010,1,1
2011-01-01,AR,41286,2011,1,1
2012-01-01,AR,43018,2012,1,1
2013-01-01,AR,42409,2013,1,1
2014-01-01,AR,44097,2014,1,1
2015-01-01,AR,45431,2015,1,1
2016-01-01,AR,45893,2016,1,1
2017-01-01,AR,46837,2017,1,1
2018-01-01,AR,48481,2018,1,1
2019-01-01,AR,48247,2019,1,1
2020-01-01,AR,51195,2020,1,1
2021-01-01,AR,54650,2021,1,1
2022-01-01,AR,54888,2022,1,1
2023-01-01,AR,55330,2023,1,1
2008-01-01,CA,43801,2008,1,1
2009-01-01,CA,42404,2009,1,1
2010-01-01,CA,43519,2010,1,1
2011-01-01,CA,44857,2011,1,1
2012-01-01,CA,46169,2012,1,1
2013-01-01,CA,45838,2013,1,1
2014-01-01,CA,47489,2014,1,1
2015-01-01,CA,50073,2015,1,1
2016-01-01,CA,51845,2016,1,1
2017-01-01,CA,52604,2017,1,1
2018-01-01,CA,53481,2018,1,1
2019-01-01,CA,55932,2019,1,1
2020-01-01,CA,60008,2020,1,1
2021-01-01,CA,63194,2021,1,1
2022-01-01,CA,58928,2022,1,1
2023-01-01,CA,59940,2023,1,1
2008-01-01,CO,46677,2008,1,1
2009-01-01,CO,44290,2009,1,1
2010-01-01,CO,44903,2010,1,1
2011-01-01,CO,45646,2011,1,1
2012-01-01,CO,46717,2012,1,1
2013-01-01,CO,47737,2013,1,1
2014-01-01,CO,50261,2014,1,1
2015-01-01,CO,51333,2015,1,1
2016-01-01,CO,50938,2016,1,1
2017-01-01,CO,52744,2017,1,1
2018-01-01,CO,56591,2018,1,1
2019-01-01,CO,57865,2019,1,1
2020-01-01,CO,59744,2020,1,1
2021-01-01,CO,64129,2021,1,1
2022-01-01,CO,64644,2022,1,1
2023-01-01,CO,65589,2023,1,1
2008-01-01,CT,61514,2008,1,1
2009-01-01,CT,60539,2009,1,1
2010-01-01,CT,63476,2010,1,1
2011-01-01,CT,62986,2011,1,1
2012-01-01,CT,62600,2012,1,1
2013-01-01,CT,60178,2013,1,1
2014-01-01,CT,62126,2014,1,1
2015-01-01,CT,63352,2015,1,1
2016-01-01,CT,64060,2016,1,1
2017-01-01,CT,64666,2017,1,1
2018-01-01,CT,68094,2018,1,1
2019-01-01,CT,69073,2019,1,1
2020-01-01,CT,70057,2020,1,1
2021-01-01,CT,73110,2021,1,1
2022-01-01,CT,68981,2022,1,1
2023-01-01,CT,72040,2023,1,1
2008-01-01,DE,45923,2008,1,1
2009-01-01,DE,45268,2009,1,1
2010-01-01,DE,44778,2010,1,1
2011-01-01,DE,47055,2011,1,1
2012-01-01,DE,46582,2012,1,1
2013-01-01,DE,46593,2013,1,1
2014-01-01,DE,46902,2014,1,1
2015-01-01,DE,49650,2015,1,1
2016-01-01,DE,49881,2016,1,1
2017-01-01,DE,50844,2017,1,1
2018-01-01,DE,52105,2018,1,1
2019-01-01,DE,52672,2019,1,1
2020-01-01,DE,54954,2020,1,1
2021-01-01,DE,56272,2021,1,1
2022-01-01,DE,56282,2022,1,1
2023-01-01,DE,55936,2023,1,1
2008-01-01,DC,60529,2008,1,1
2009-01-01,DC,59777,2009,1,1
2010-01-01,DC,61224,2010,1,1
2011-01-01,DC,63348,2011,1,1
2012-01-01,DC,64033,2012,1,1
2013-01-01,DC,61738,2013,1,1
2014-01-01,DC,63619,2014,1,1
2015-01-01,DC,67900,2015,1,1
2016-01-01,DC,70258,2016,1,1
2017-01-01,DC,72446,2017,1,1
2018-01-01,DC,72449,2018,1,1
2019-01-01,DC,74148,2019,1,1
2020-01-01,DC,78379,2020,1,1
2021-01-01,DC,80587,2021,1,1
2022-01-01,DC,77304,2022,1,1
2023-01-01,DC,80060,2023,1,1
2008-01-01,FL,43264,2008,1,1
2009-01-01,FL,41222,2009,1,1
2010-01-01,FL,42761,2010,1,1
2011-01-01,FL,43281,2011,1,1
2012-01-01,FL,43201,2012,1,1
2013-01-01,FL,42288,2013,1,1
2014-01-01,FL,43829,2014,1,1
2015-01-01,FL,45708,2015,1,1
2016-01-01,FL,46141,2016,1,1
2017-01-01,FL,48141,2017,1,1
2018-01-01,FL,49937,2018,1,1
2019-01-01,FL,52127,2019,1,1
2020-01-01,FL,53853,2020,1,1
2021-01-01,FL,56443,2021,1,1
2022-01-01,FL,54430,2022,1,1
2023-01-01,FL,55153,2023,1,1
2008-01-01,GA,42027,2008,1,1
2009-01-01,GA,41967,2009,1,1
2010-01-01,GA,40688,2010,1,1
2011-01-01,GA,42370,2011,1,1
2012-01-01,GA,41427,2012,1,1
2013-01-01,GA,41340,2013,1,1
2014-01-01,GA,42964,2014,1,1
2015-01-01,GA,45160,2015,1,1
2016-01-01,GA,45908,2016,1,1
2017-01-01,GA,47162,2017,1,1
2018-01-01,GA,48285,2018,1,1
2019-01-01,GA,49761,2019,1,1
2020-01-01,GA,52199,2020,1,1
2021-01-01,GA,53857,2021,1,1
2022-01-01,GA,51597,2022,1,1
2023-01-01,GA,51429,2023,1,1
2008-01-01,HI,42839,2008,1,1
2009-01-01,HI,41152,2009,1,1
