SizeRank,StateName,Date,Avg_House_Price,year,month,day
0,CA,2008-01-31,465554.0,2008,1,31
1,TX,2008-01-31,143090.0,2008,1,31
2,NY,2008-01-31,289335.0,2008,1,31
3,FL,2008-01-31,238292.0,2008,1,31
4,IL,2008-01-31,228473.0,2008,1,31
5,PA,2008-01-31,177679.0,2008,1,31
6,OH,2008-01-31,130246.0,2008,1,31
7,MI,2008-01-31,140233.0,2008,1,31
8,GA,2008-01-31,171694.0,2008,1,31
9,NC,2008-01-31,174082.0,2008,1,31
10,NJ,2008-01-31,379365.0,2008,1,31
11,VA,2008-01-31,278534.0,2008,1,31
12,WA,2008-01-31,319219.0,2008,1,31
13,MA,2008-01-31,354577.0,2008,1,31
14,IN,2008-01-31,122270.0,2008,1,31
15,AZ,2008-01-31,245920.0,2008,1,31
16,TN,2008-01-31,145657.0,2008,1,31
17,MO,2008-01-31,140596.0,2008,1,31
18,MD,2008-01-31,346728.0,2008,1,31
19,WI,2008-01-31,174716.0,2008,1,31
20,MN,2008-01-31,217683.0,2008,1,31
21,CO,2008-01-31,246695.0,2008,1,31
22,AL,2008-01-31,130830.0,2008,1,31
23,SC,2008-01-31,167490.0,2008,1,31
24,LA,2008-01-31,153201.0,2008,1,31
25,KY,2008-01-31,117269.0,2008,1,31
26,OR,2008-01-31,285491.0,2008,1,31
27,OK,2008-01-31,104629.0,2008,1,31
28,CT,2008-01-31,312797.0,2008,1,31
29,IA,2008-01-31,124921.0,2008,1,31
30,MS,2008-01-31,116468.0,2008,1,31
31,AR,2008-01-31,110137.0,2008,1,31
32,KS,2008-01-31,122999.0,2008,1,31
33,UT,2008-01-31,257927.0,2008,1,31
34,NV,2008-01-31,298799.0,2008,1,31
35,NM,2008-01-31,198319.0,2008,1,31
36,WV,2008-01-31,94088.0,2008,1,31
37,NE,2008-01-31,127830.0,2008,1,31
38,ID,2008-01-31,204361.0,2008,1,31
39,HI,2008-01-31,531057.0,2008,1,31
40,ME,2008-01-31,213422.0,2008,1,31
41,NH,2008-01-31,255256.0,2008,1,31
42,RI,2008-01-31,301197.0,2008,1,31
43,MT,2008-01-31,215706.0,2008,1,31
44,DE,2008-01-31,273588.0,2008,1,31
45,SD,2008-01-31,149060.0,2008,1,31
46,AK,2008-01-31,263198.0,2008,1,31
47,ND,2008-01-31,165506.0,2008,1,31
48,VT,2008-01-31,238373.0,2008,1,31
49,DC,2008-01-31,458288.0,2008,1,31
50,WY,2008-01-31,204747.0,2008,1,31
0,CA,2008-02-29,456340.0,2008,2,29
1,TX,2008-02-29,142690.0,2008,2,29
2,NY,2008-02-29,288912.0,2008,2,29
3,FL,2008-02-29,234155.0,2008,2,29
4,IL,2008-02-29,226266.0,2008,2,29
5,PA,2008-02-29,177520.0,2008,2,29
6,OH,2008-02-29,129860.0,2008,2,29
7,MI,2008-02-29,139056.0,2008,2,29
8,GA,2008-02-29,170904.0,2008,2,29
9,NC,2008-02-29,174101.0,2008,2,29
10,NJ,2008-02-29,377510.0,2008,2,29
11,VA,2008-02-29,276395.0,2008,2,29
12,WA,2008-02-29,317831.0,2008,2,29
13,MA,2008-02-29,352178.0,2008,2,29
14,IN,2008-02-29,122265.0,2008,2,29
15,AZ,2008-02-29,240974.0,2008,2,29
16,TN,2008-02-29,145238.0,2008,2,29
17,MO,2008-02-29,140409.0,2008,2,29
18,MD,2008-02-29,344578.0,2008,2,29
19,WI,2008-02-29,174184.0,2008,2,29
20,MN,2008-02-29,215643.0,2008,2,29
21,CO,2008-02-29,245647.0,2008,2,29
22,AL,2008-02-29,130576.0,2008,2,29
23,SC,2008-02-29,167288.0,2008,2,29
24,LA,2008-02-29,153062.0,2008,2,29
25,KY,2008-02-29,117197.0,2008,2,29
26,OR,2008-02-29,284459.0,2008,2,29
27,OK,2008-02-29,104774.0,2008,2,29
28,CT,2008-02-29,310184.0,2008,2,29
29,IA,2008-02-29,124963.0,2008,2,29
30,MS,2008-02-29,116303.0,2008,2,29
31,AR,2008-02-29,110158.0,2008,2,29
32,KS,2008-02-29,123019.0,2008,2,29
33,UT,2008-02-29,257781.0,2008,2,29
34,NV,2008-02-29,289482.0,2008,2,29
35,NM,2008-02-29,198026.0,2008,2,29
36,WV,2008-02-29,94137.0,2008,2,29
37,NE,2008-02-29,127302.0,2008,2,29
38,ID,2008-02-29,205173.0,2008,2,29
39,HI,2008-02-29,529259.0,2008,2,29
40,ME,2008-02-29,213219.0,2008,2,29
41,NH,2008-02-29,254042.0,2008,2,29
42,RI,2008-02-29,298769.0,2008,2,29
43,MT,2008-02-29,216210.0,2008,2,29
44,DE,2008-02-29,272025.0,2008,2,29
45,SD,2008-02-29,149436.0,2008,2,29
46,AK,2008-02-29,263251.0,2008,2,29
47,ND,2008-02-29,166077.0,2008,2,29
48,VT,2008-02-29,238231.0,2008,2,29
49,DC,2008-02-29,455738.0,2008,2,29
50,WY,2008-02-29,204967.0,2008,2,29
0,CA,2008-03-31,445900.0,2008,3,31
1,TX,2008-03-31,142136.0,2008,3,31
2,NY,2008-03-31,288472.0,2008,3,31
3,FL,2008-03-31,229628.0,2008,3,31
4,IL,2008-03-31,225562.0,2008,3,31
5,PA,2008-03-31,177166.0,2008,3,31
6,OH,2008-03-31,129516.0,2008,3,31
7,MI,2008-03-31,137603.0,2008,3,31
8,GA,2008-03-31,169888.0,2008,3,31
9,NC,2008-03-31,174035.0,2008,3,31
10,NJ,2008-03-31,375032.0,2008,3,31
11,VA,2008-03-31,273941.0,2008,3,31
12,WA,2008-03-31,316108.0,2008,3,31
13,MA,2008-03-31,349602.0,2008,3,31
14,IN,2008-03-31,122178.0,2008,3,31
15,AZ,2008-03-31,235658.0,2008,3,31
16,TN,2008-03-31,144828.0,2008,3,31
17,MO,2008-03-31,140155.0,2008,3,31
18,MD,2008-03-31,342028.0,2008,3,31
19,WI,2008-03-31,173390.0,2008,3,31
20,MN,2008-03-31,213884.0,2008,3,31
21,CO,2008-03-31,244581.0,2008,3,31
22,AL,2008-03-31,130256.0,2008,3,31
23,SC,2008-03-31,166883.0,2008,3,31
24,LA,2008-03-31,152845.0,2008,3,31
25,KY,2008-03-31,117126.0,2008,3,31
26,OR,2008-03-31,282823.0,2008,3,31
27,OK,2008-03-31,104689.0,2008,3,31
28,CT,2008-03-31,307199.0,2008,3,31
29,IA,2008-03-31,124827.0,2008,3,31
30,MS,2008-03-31,116157.0,2008,3,31
31,AR,2008-03-31,110171.0,2008,3,31
32,KS,2008-03-31,123083.0,2008,3,31
33,UT,2008-03-31,256764.0,2008,3,31
34,NV,2008-03-31,280271.0,2008,3,31
35,NM,2008-03-31,197802.0,2008,3,31
36,WV,2008-03-31,94089.0,2008,3,31
37,NE,2008-03-31,126722.0,2008,3,31
38,ID,2008-03-31,205259.0,2008,3,31
39,HI,2008-03-31,528509.0,2008,3,31
40,ME,2008-03-31,212810.0,2008,3,31
41,NH,2008-03-31,252405.0,2008,3,31
42,RI,2008-03-31,296368.0,2008,3,31
43,MT,2008-03-31,215865.0,2008,3,31
44,DE,2008-03-31,271272.0,2008,3,31
45,SD,2008-03-31,149680.0,2008,3,31
46,AK,2008-03-31,263620.0,2008,3,31
47,ND,2008-03-31,166451.0,2008,3,31
48,VT,2008-03-31,238080.0,2008,3,31
49,DC,2008-03-31,453264.0,2008,3,31
50,WY,2008-03-31,205159.0,2008,3,31
0,CA,2008-04-30,434567.0,2008,4,30
1,TX,2008-04-30,141788.0,2008,4,30
2,NY,2008-04-30,287775.0,2008,4,30
3,FL,2008-04-30,225318.0,2008,4,30
4,IL,2008-04-30,223157.0,2008,4,30
5,PA,2008-04-30,176835.0,2008,4,30
6,OH,2008-04-30,129092.0,2008,4,30
7,MI,2008-04-30,135821.0,2008,4,30
8,GA,2008-04-30,169043.0,2008,4,30
9,NC,2008-04-30,173881.0,2008,4,30
10,NJ,2008-04-30,371941.0,2008,4,30
11,VA,2008-04-30,271119.0,2008,4,30
12,WA,2008-04-30,313786.0,2008,4,30
13,MA,2008-04-30,347208.0,2008,4,30
14,IN,2008-04-30,121957.0,2008,4,30
15,AZ,2008-04-30,229413.0,2008,4,30
16,TN,2008-04-30,144559.0,2008,4,30
17,MO,2008-04-30,139720.0,2008,4,30
18,MD,2008-04-30,338897.0,2008,4,30
19,WI,2008-04-30,172280.0,2008,4,30
20,MN,2008-04-30,212138.0,2008,4,30
21,CO,2008-04-30,243617.0,2008,4,30
22,AL,2008-04-30,130015.0,2008,4,30
23,SC,2008-04-30,166429.0,2008,4,30
24,LA,2008-04-30,152551.0,2008,4,30
25,KY,2008-04-30,116937.0,2008,4,30
26,OR,2008-04-30,281145.0,2008,4,30
27,OK,2008-04-30,104744.0,2008,4,30
28,CT,2008-04-30,304868.0,2008,4,30
29,IA,2008-04-30,124565.0,2008,4,30
30,MS,2008-04-30,115704.0,2008,4,30
31,AR,2008-04-30,110168.0,2008,4,30
32,KS,2008-04-30,123001.0,2008,4,30
33,UT,2008-04-30,255002.0,2008,4,30
34,NV,2008-04-30,272699.0,2008,4,30
35,NM,2008-04-30,197229.0,2008,4,30
36,WV,2008-04-30,94108.0,2008,4,30
37,NE,2008-04-30,126291.0,2008,4,30
38,ID,2008-04-30,204707.0,2008,4,30
39,HI,2008-04-30,527704.0,2008,4,30
40,ME,2008-04-30,211738.0,2008,4,30
41,NH,2008-04-30,251376.0,2008,4,30
42,RI,2008-04-30,293630.0,2008,4,30
43,MT,2008-04-30,215364.0,2008,4,30
44,DE,2008-04-30,270481.0,2008,4,30
45,SD,2008-04-30,149828.0,2008,4,30
46,AK,2008-04-30,263636.0,2008,4,30
47,ND,2008-04-30,166659.0,2008,4,30
48,VT,2008-04-30,237207.0,2008,4,30
49,DC,2008-04-30,450958.0,2008,4,30
50,WY,2008-04-30,205121.0,2008,4,30
0,CA,2008-05-31,423413.0,2008,5,31
1,TX,2008-05-31,141399.0,2008,5,31
2,NY,2008-05-31,286783.0,2008,5,31
3,FL,2008-05-31,220774.0,2008,5,31
4,IL,2008-05-31,222500.0,2008,5,31
5,PA,2008-05-31,176369.0,2008,5,31
6,OH,2008-05-31,128695.0,2008,5,31
7,MI,2008-05-31,134111.0,2008,5,31
8,GA,2008-05-31,168215.0,2008,5,31
9,NC,2008-05-31,173648.0,2008,5,31
10,NJ,2008-05-31,368381.0,2008,5,31
11,VA,2008-05-31,268350.0,2008,5,31
12,WA,2008-05-31,310878.0,2008,5,31
13,MA,2008-05-31,344988.0,2008,5,31
14,IN,2008-05-31,121768.0,2008,5,31
15,AZ,2008-05-31,225235.0,2008,5,31
16,TN,2008-05-31,144339.0,2008,5,31
17,MO,2008-05-31,139277.0,2008,5,31
18,MD,2008-05-31,334906.0,2008,5,31
19,WI,2008-05-31,171500.0,2008,5,31
20,MN,2008-05-31,210506.0,2008,5,31
21,CO,2008-05-31,242507.0,2008,5,31
22,AL,2008-05-31,129893.0,2008,5,31
23,SC,2008-05-31,166021.0,2008,5,31
24,LA,2008-05-31,152486.0,2008,5,31
25,KY,2008-05-31,116772.0,2008,5,31
26,OR,2008-05-31,278744.0,2008,5,31
27,OK,2008-05-31,104717.0,2008,5,31
28,CT,2008-05-31,303098.0,2008,5,31
29,IA,2008-05-31,124433.0,2008,5,31
30,MS,2008-05-31,115106.0,2008,5,31
31,AR,2008-05-31,110039.0,2008,5,31
32,KS,2008-05-31,123014.0,2008,5,31
33,UT,2008-05-31,253129.0,2008,5,31
34,NV,2008-05-31,266744.0,2008,5,31
35,NM,2008-05-31,196566.0,2008,5,31
36,WV,2008-05-31,94084.0,2008,5,31
37,NE,2008-05-31,125923.0,2008,5,31
38,ID,2008-05-31,202977.0,2008,5,31
39,HI,2008-05-31,528854.0,2008,5,31
